generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.18055,-3280.54,10,1
1000,0,-2.86099,-1552.85,0.345661,0.186813
2000,0,-4.26149,-1551.29,0.0453954,0.161
3000,1,-5.1215,-1531.58,0.614378,0.212929
4000,1,-3.19012,-1530.05,0.864997,0.32
5000,1,-5.0193,-1531.07,1.35516,0.268
6000,1,-4.19651,-1530.82,2.27913,0.274954
7000,2,-3.83729,-1529.32,5.1543,0.3435
8000,1,-5.16474,-1534.2,1.37962,0.305125
9000,1,-4.05631,-1528.35,0.477325,0.363
10000,1,-4.21447,-1528.79,0.605919,0.354667
11000,1,-3.59251,-1530.49,0.346809,0.345
12000,1,-3.9532,-1527.93,2.71101,0.35275
13000,1,-5.57069,-1527.31,0.449761,0.3545
14000,1,-4.67697,-1532.66,3.23059,0.325
15000,2,-4.45119,-1530.62,3.61845,0.372875
16000,3,-7.62498,-1529.23,5.01393,0.355
17000,3,-6.55579,-1528.26,2.05616,0.344
18000,3,-11.3039,-1530.15,4.51949,0.346
19000,2,-4.50488,-1527.65,3.22806,0.362
20000,2,-5.07736,-1526.23,3.68679,0.35
21000,3,-7.62995,-1521.82,2.02272,0.382417
22000,4,-5.24622,-1521.01,8.37205,0.399
23000,2,-4.66883,-1523.63,1.84714,0.403
24000,2,-8.79702,-1525.34,1.65107,0.3612
25000,1,-3.65899,-1527.07,2.33277,0.338
26000,1,-6.05937,-1528.62,2.10976,0.348
27000,1,-4.36159,-1532.12,1.31166,0.32
28000,1,-4.48374,-1531.24,0.465094,0.35775
29000,1,-6.52109,-1532.89,2.34702,0.2925
30000,1,-7.35992,-1530.99,1.20945,0.307
31000,2,-6.66557,-1523.95,2.38073,0.339421
32000,1,-4.16666,-1529.23,1.39062,0.352222
33000,1,-5.17812,-1526.15,4.24548,0.157
34000,1,-4.62008,-1529.31,0.487498,0.3315
35000,3,-5.56973,-1527.67,4.76067,0.358
36000,1,-6.02379,-1534.55,3.33422,0.264125
37000,1,-5.88037,-1525.86,4.75037,0.148
38000,1,-4.18638,-1527.44,3.10274,0.18
39000,1,-3.55403,-1529.82,1.37038,0.373
40000,2,-8.65373,-1521.3,0.577461,0.3475
41000,2,-9.17697,-1510.62,2.25012,0.31
42000,4,-10.4372,-1506.82,2.21146,0.343
43000,6,-9.70308,-1499.5,5.60525,0.217417
44000,5,-11.0211,-1493.93,5.36107,0.363818
45000,5,-12.0838,-1460.15,6.90698,0.447
46000,4,-12.5274,-1459.21,2.98928,0.383
47000,5,-8.99998,-1464.89,4.28233,0.435
48000,4,-7.0474,-1462.91,4.59184,0.404333
49000,4,-9.93014,-1459.31,4.3273,0.3895
50000,3,-8.02449,-1458.05,3.97728,0.369
51000,3,-7.97552,-1457.76,7.57339,0.376
52000,5,-8.08021,-1459.96,2.90183,0.392
53000,4,-9.02184,-1458.67,6.62048,0.4136
54000,5,-10.5805,-1445.8,3.61741,0.339
55000,5,-12.2784,-1450.42,2.59748,0.364
56000,3,-7.06751,-1458.01,3.43105,0.430875
57000,5,-10.8991,-1451.92,6.09098,0.3695
58000,5,-10.9951,-1459.62,2.58946,0.386
59000,5,-8.21846,-1442.37,4.30782,0.39645
60000,4,-8.04654,-1469.02,2.50848,0.3545
61000,5,-6.67753,-1462.55,2.64137,0.433
62000,3,-9.86986,-1460.67,3.6623,0.357
63000,4,-9.18017,-1444.21,5.46294,0.3645
64000,6,-12.0517,-1443.11,6.17305,0.396
65000,6,-7.14901,-1441.3,5.82061,0.442
66000,9,-8.27587,-1422.31,6.52512,0.416429
67000,8,-6.56486,-1422.28,8.67841,0.46
68000,8,-10.6593,-1427.18,11.6357,0.422
69000,8,-9.30654,-1431.3,6.60707,0.421
70000,7,-12.7548,-1437.18,8.02066,0.420538
71000,10,-14.3948,-1424.98,4.39976,0.387
72000,8,-13.1769,-1425.22,7.72999,0.389
73000,7,-11.7044,-1428.8,10.4938,0.335
74000,7,-13.9526,-1430.73,11.0448,0.362
