generation,rank_1,rank_2,swapAccepted
1000,2,3,0
2000,1,3,1
3000,2,4,1
4000,3,4,1
5000,1,4,1
6000,2,4,1
7000,3,4,1
8000,1,4,0
9000,1,2,0
10000,2,4,1
11000,2,3,1
12000,2,3,0
13000,1,3,0
14000,1,3,0
15000,1,3,0
16000,3,4,0
17000,3,4,1
18000,2,4,1
19000,1,2,1
20000,1,4,1
21000,2,3,1
22000,2,3,1
23000,3,4,1
24000,2,4,0
25000,2,3,0
26000,2,3,0
27000,2,3,0
28000,1,3,0
29000,3,4,1
30000,1,4,0
31000,1,3,0
32000,2,4,0
33000,1,3,0
34000,3,4,1
35000,3,4,1
36000,1,4,0
37000,2,3,0
38000,1,3,0
39000,2,3,1
40000,2,3,1
41000,1,3,1
42000,1,2,1
43000,2,3,1
44000,1,3,0
45000,1,4,0
46000,1,2,0
47000,2,4,1
48000,2,3,1
49000,2,3,1
50000,1,3,0
51000,3,4,1
52000,2,3,1
53000,3,4,0
54000,1,3,0
55000,1,3,0
56000,1,2,1
57000,1,4,0
58000,1,2,1
59000,1,2,1
60000,1,2,1
61000,1,4,0
62000,2,4,0
63000,2,3,1
64000,1,2,0
65000,1,4,0
66000,1,3,0
67000,2,3,1
68000,3,4,0
69000,1,3,0
70000,1,4,0
71000,3,4,1
72000,3,4,1
73000,1,4,0
74000,2,3,1
75000,1,3,0
76000,2,3,1
77000,2,4,0
78000,2,3,1
79000,1,3,0
80000,1,4,0
81000,1,3,0
82000,1,4,0
83000,2,3,1
84000,1,3,0
85000,1,4,0
86000,2,3,1
87000,1,2,0
88000,2,3,1
89000,1,4,0
90000,1,4,0
91000,2,4,0
92000,2,3,1
93000,2,4,1
94000,2,3,1
95000,2,3,0
96000,2,4,1
97000,1,4,1
98000,3,4,1
99000,3,4,1
100000,1,2,0
101000,2,3,1
102000,1,2,1
103000,1,2,1
104000,2,4,1
105000,2,4,0
106000,1,3,1
107000,1,3,1
108000,3,4,1
109000,2,4,0
110000,1,2,1
111000,1,4,0
112000,2,4,0
113000,1,3,0
114000,1,3,0
115000,2,4,0
116000,3,4,1
117000,3,4,1
118000,1,4,0
119000,1,2,1
120000,1,4,0
121000,1,3,0
122000,1,2,1
123000,3,4,1
124000,2,3,1
125000,1,4,0
126000,1,3,1
127000,2,4,1
128000,1,3,0
129000,1,4,0
130000,2,3,1
131000,1,4,0
132000,1,3,0
133000,3,4,1
134000,1,3,1
135000,1,2,1
136000,1,3,1
137000,2,4,0
138000,1,4,0
139000,2,3,1
140000,1,4,0
141000,1,4,0
142000,1,2,1
143000,1,3,0
144000,1,2,1
145000,2,4,0
146000,2,4,0
147000,2,3,0
148000,1,4,0
149000,2,3,1
150000,1,4,0
151000,1,4,0
152000,3,4,0
153000,2,3,1
154000,1,4,0
155000,2,3,1
156000,2,4,1
157000,1,2,1
158000,2,3,1
159000,1,3,1
160000,2,4,0
161000,1,3,0
162000,1,2,1
163000,1,3,0
164000,1,4,1
165000,2,3,0
166000,1,2,1
167000,3,4,1
168000,2,4,0
169000,3,4,0
170000,1,3,0
171000,1,3,0
172000,2,3,1
173000,1,4,0
174000,2,3,1
175000,3,4,0
176000,3,4,0
177000,1,3,0
178000,1,2,1
179000,1,2,1
180000,2,4,0
181000,2,4,1
182000,1,4,0
183000,1,4,0
184000,2,3,1
185000,2,3,0
186000,1,4,0
187000,1,2,0
188000,3,4,1
189000,2,4,0
190000,1,4,0
191000,3,4,1
192000,1,4,0
193000,2,4,0
194000,1,2,1
195000,1,4,0
196000,2,3,0
197000,2,4,0
198000,1,2,1
199000,3,4,1
200000,2,4,0
201000,1,4,0
202000,1,4,0
203000,2,3,1
204000,1,2,0
205000,1,3,0
206000,1,4,0
207000,1,2,1
208000,2,4,0
209000,3,4,0
210000,1,4,1
211000,3,4,0
212000,2,4,0
213000,1,2,1
214000,2,4,1
215000,2,4,0
216000,2,4,0
217000,1,3,0
218000,3,4,0
219000,2,4,0
220000,1,3,1
221000,3,4,0
222000,2,3,1
223000,1,3,0
224000,1,4,0
225000,2,4,0
226000,3,4,1
227000,1,4,0
228000,3,4,1
229000,3,4,1
230000,1,4,0
231000,2,3,1
232000,1,4,0
233000,2,3,1
234000,1,2,1
235000,1,4,0
236000,3,4,1
237000,3,4,1
238000,1,3,0
239000,1,4,0
240000,1,4,0
241000,1,3,0
242000,1,4,0
243000,2,3,1
244000,1,2,0
245000,2,4,1
246000,2,4,1
247000,2,3,1
248000,2,4,1
249000,1,3,0
250000,2,4,1
251000,3,4,1
252000,1,2,1
253000,1,4,1
254000,1,4,1
255000,2,3,0
256000,2,4,0
257000,2,4,0
258000,1,2,1
259000,3,4,1
260000,1,4,0
261000,2,3,0
262000,1,3,0
263000,3,4,1
264000,1,3,0
265000,1,3,0
266000,1,3,0
267000,2,4,0
268000,2,3,1
269000,2,3,1
270000,2,3,1
271000,1,3,0
272000,2,3,1
273000,1,3,0
274000,3,4,0
275000,1,2,1
276000,2,4,0
277000,2,3,0
278000,1,3,1
279000,1,3,1
280000,2,4,0
281000,3,4,0
282000,3,4,0
283000,2,3,0
284000,2,3,0
285000,1,2,1
286000,1,3,0
287000,2,4,0
288000,1,4,0
289000,1,3,0
290000,1,2,1
291000,1,3,0
292000,3,4,0
293000,1,3,0
294000,3,4,1
295000,3,4,1
296000,1,2,1
297000,3,4,1
298000,1,4,0
299000,2,3,0
300000,2,3,0
301000,1,2,1
302000,2,3,0
303000,1,3,1
304000,2,4,0
305000,3,4,0
306000,2,3,1
307000,1,3,1
308000,1,2,0
309000,2,3,0
310000,1,2,0
311000,2,4,0
