generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-124713,10,0
1000,4,-32.8895,-10207.2,3.26826,0.199
2000,1,-32.3706,-5001.86,1.12895,0.235382
3000,0,-35.059,-4979.75,1.1305,0.252
4000,0,-35.8166,-5016.41,0.558004,0.319
5000,13,-43.5749,-4819.31,17.8533,0.227
6000,11,-44.7061,-4849.95,13.0216,0.293
7000,12,-47.9838,-4868.65,13.5216,0.297
8000,13,-47.1603,-4929.14,12.9201,0.312
9000,17,-41.6951,-4902.63,19.2024,0.288
10000,18,-45.0685,-4888.66,12.3518,0.3
11000,17,-38.0547,-4897.29,17.3687,0.29
12000,20,-47.9299,-4910.49,19.3253,0.32
13000,19,-47.4898,-4903.95,13.5605,0.306
14000,26,-46.1377,-4924.59,27.043,0.329
15000,27,-47.1306,-4921.81,19.5098,0.327
16000,28,-46.1379,-4921.05,26.9605,0.295
17000,24,-53.8778,-4937.54,23.1548,0.321
18000,27,-56.1218,-4930.08,28.2454,0.328
19000,17,-32.8962,-4977.13,25.0079,0.326404
20000,30,-36.5704,-4942,42.7661,0.309835
21000,31,-33.9326,-4942.8,32.7516,0.319
22000,35,-34.8385,-4950.64,40.3733,0.316
23000,37,-26.8595,-4954.37,37.7087,0.339
24000,41,-24.047,-4943.73,44.3124,0.346
25000,41,-20.6334,-4948.32,31.4481,0.344
26000,36,-24.3792,-4938.19,41.7764,0.336
27000,32,-25.498,-4914.79,42.951,0.345
28000,30,-28.1173,-4917.43,25.0182,0.306
29000,30,-29.0542,-4901.78,22.5984,0.324
30000,30,-38.4075,-4905.47,25.4997,0.347
31000,24,-45.3922,-4917.48,23.6237,0.358
32000,23,-39.0452,-4924.2,24.3557,0.315
33000,25,-37.8113,-4927.88,29.7308,0.306
34000,28,-36.3707,-4948.78,25.6226,0.351
35000,26,-32.3318,-4940,22.9763,0.331
36000,28,-27.8091,-4914.7,25.5897,0.356
37000,28,-34.3138,-4925.73,27.8215,0.336
38000,35,-39.4927,-4916.54,18.8194,0.291
39000,29,-34.2919,-4928.59,24.2687,0.332
40000,29,-27.7888,-4913.15,22.7148,0.306
41000,26,-29.8295,-5000.69,23.3702,0.331081
42000,48,-14.1875,-4846.22,37.1467,0.321458
43000,49,-21.0967,-4835.91,42.8133,0.311
44000,56,-21.2625,-4843,51.121,0.322
45000,60,-22.0885,-4851.97,61.8668,0.314
46000,60,-32.1976,-4858.37,49.3545,0.312
47000,61,-29.6732,-4847.11,50.3879,0.316
48000,61,-39.5178,-4839.15,58.4097,0.317
49000,60,-35.4892,-4850.42,64.2197,0.341
50000,63,-29.5816,-4823.06,61.4514,0.3
51000,54,-22.6111,-4829.75,42.4029,0.312
52000,52,-28.2346,-4830.75,48.2262,0.321
53000,52,-30.6879,-4871.51,49.1884,0.354
54000,52,-24.4831,-4864.25,46.6185,0.306
55000,53,-21.322,-4855.87,42.541,0.328
56000,34,-22.7647,-4921.76,38.587,0.337813
57000,34,-19.105,-4900.25,26.9348,0.338
58000,62,-12.5211,-4867.69,55.6167,0.324
59000,34,-23.4116,-4917.76,27.3354,0.3415
60000,57,-5.7299,-4864.92,53.5875,0.308
61000,58,-8.45847,-4849.22,51.739,0.326
62000,54,-12.0855,-4849.52,51.739,0.306
63000,52,-9.24692,-4850.28,47.4632,0.29
64000,54,-3.07513,-4839.38,46.3219,0.323
65000,58,-3.69649,-4834.59,61.3131,0.299
66000,57,-9.44777,-4831.14,54.4172,0.318
67000,59,-7.19809,-4833.66,63.5339,0.311
68000,59,-1.91705,-4827.84,48.68,0.301
69000,66,-3.10683,-4831.16,58.0155,0.308
70000,63,2.29842,-4839.46,54.2559,0.339
71000,59,-4.98285,-4824.96,53.9021,0.285
72000,62,-11.2749,-4836.07,51.529,0.296
73000,62,-25.8206,-4841.3,62.9544,0.291
74000,67,-24.882,-4820.92,62.9544,0.304
75000,65,-25.8244,-4818.22,54.026,0.307
76000,58,-32.1276,-4822.66,56.5958,0.342
77000,66,-20.2419,-4833.13,50.0786,0.303
78000,65,-22.8884,-4842.84,55.0069,0.298
79000,60,-16.4607,-4861.91,54.1913,0.329
80000,62,-25.9233,-4846.5,61.2203,0.34
81000,67,-18.6682,-4837.43,53.5053,0.32
82000,62,-30.7707,-4854.35,57.1883,0.318
83000,60,-26.8063,-4837.16,62.4652,0.319
84000,68,-24.0226,-4850.05,66.1777,0.31
85000,72,-24.2777,-4851.59,67.6817,0.355
86000,84,-10.3583,-4833.75,86.3105,0.33
87000,86,-8.86153,-4831.56,88.1132,0.32
88000,88,-3.56812,-4827.63,86.078,0.32
89000,88,4.09622,-4844.19,74.3676,0.3
90000,85,2.93629,-4820.4,73.7122,0.328
91000,85,1.283,-4835.41,100.203,0.294
92000,81,4.65026,-4850.12,68.5606,0.32
93000,73,-15.2496,-4849.53,64.6553,0.329
94000,70,-14.1368,-4811.28,57.2074,0.334
95000,71,-6.92287,-4809.28,62.5136,0.307
96000,66,-8.98874,-4824.11,74.2447,0.296
97000,36,-29.1406,-4858.45,31.5425,0.325605
98000,39,-22.1891,-4880.04,33.5923,0.312
99000,41,-19.4798,-4854.97,47.5939,0.288
100000,42,-27.2778,-4850.81,31.3184,0.329
101000,40,-26.8579,-4831.17,43.6279,0.307
102000,40,-16.5297,-4990.58,35.2422,0.333377
103000,34,-26.6683,-4858.3,33.3536,0.298
104000,41,-28.0189,-4840.86,44.4746,0.328
105000,42,-34.0389,-4805.66,42.7985,0.333
106000,53,-8.93732,-4891.83,54.1461,0.332724
107000,50,-32.4688,-4802.75,60.3001,0.3035
108000,52,-29.5583,-4823.54,36.4844,0.329
109000,43,-31.8677,-4825.15,42.9282,0.304
110000,72,-18.4932,-4834.38,62.8721,0.313143
111000,70,-14.8354,-4835.93,56.463,0.324
112000,78,-5.64493,-4845.76,75.9201,0.33
113000,81,1.61584,-4859.18,70.4858,0.342
114000,83,7.29526,-4832.98,72.8828,0.313
115000,83,10.8402,-4838.78,59.9427,0.305
116000,79,3.75623,-4837.45,67.8698,0.329
117000,81,-0.839484,-4834.9,85.5942,0.348
118000,79,-2.57774,-4825.18,63.2526,0.316
119000,74,-8.72421,-4783.4,53.0185,0.3251
120000,71,-15.2928,-4793.42,66.5346,0.332
121000,74,-11.5043,-4782.18,72.4602,0.309
122000,72,-9.98306,-4856.28,67.153,0.32375
123000,70,3.59712,-4855.42,65.337,0.323
124000,66,-6.72125,-4877.65,69.0607,0.351
125000,64,-27.659,-4881.04,82.2725,0.321
126000,62,-18.8665,-4821.47,43.7844,0.3188
127000,59,-16.2614,-4804.89,57.0045,0.325
128000,61,-15.8099,-4795.66,55.6005,0.334
129000,57,-14.2096,-4785.34,46.386,0.3
130000,56,-12.8062,-4775.24,57.8095,0.327
131000,62,-16.0667,-4792.87,57.8095,0.309
132000,64,-15.7942,-4782.95,59.4914,0.31
133000,70,-20.3323,-4791.15,55.7689,0.303
134000,44,-35.0562,-4925.48,52.1434,0.33
135000,47,-32.6494,-4886.37,41.3081,0.3201
136000,58,-37.8238,-4814.35,53.9925,0.307
137000,54,-30.5474,-4814.71,36.2119,0.328
138000,55,-37.977,-4804.17,42.2555,0.305
139000,56,-35.3585,-4817.92,54.1425,0.298
140000,56,-27.07,-4824.49,53.1873,0.338
141000,62,-26.6223,-4802.9,61.4768,0.306
142000,68,-19.3652,-4817.61,63.2747,0.318286
143000,70,-11.1715,-4829.47,73.4051,0.333
144000,60,-12.158,-4823.9,55.9008,0.332
145000,66,-8.40696,-4835.12,63.3791,0.314
146000,68,-12.2894,-4820.12,60.8992,0.301
147000,62,-19.1061,-4829.63,59.9155,0.315
148000,61,-21.0633,-4835.02,47.1522,0.344
149000,62,-21.6573,-4830.3,61.5041,0.322
150000,55,-28.8005,-4852.39,57.1269,0.285
151000,49,-35.0514,-4852.28,43.5311,0.322
152000,48,-19.6292,-4845.03,43.5311,0.335
153000,50,-14.0952,-4843.86,43.3782,0.316
154000,55,-13.187,-4846.42,41.9071,0.328
155000,54,-27.0649,-4843.7,40.174,0.31
156000,55,-28.1332,-4854.74,56.3253,0.322
157000,55,-36.4319,-5006.18,55.3415,0.336345
158000,61,-39.2788,-5007.05,54.2069,0.35
159000,69,-25.9977,-4824.03,63.8632,0.34
160000,65,-30.3267,-4827.95,62.826,0.287
161000,66,-11.1843,-4811.92,56.6588,0.312
162000,72,-19.2437,-4864.68,62.7836,0.324158
163000,68,-14.3582,-4868.32,64.3431,0.311
164000,86,-9.07673,-4888.29,81.4653,0.327033
165000,85,-10.4653,-4899.61,64.1362,0.31
166000,73,-10.0911,-4787.99,60.282,0.3126
167000,76,-8.38411,-4777.17,73.6315,0.317
168000,74,-17.8218,-4773.7,64.6567,0.345
169000,80,-20.3386,-4798.85,78.0301,0.346
170000,82,-23.794,-4797.72,62.7081,0.325
171000,87,-11.3953,-4801.26,75.9732,0.332
172000,84,-8.77464,-4804.75,74.7463,0.321
173000,82,-21.1508,-4773.28,84.0247,0.332
174000,80,-31.4409,-4800.11,81.1582,0.308
175000,83,-24.1708,-4780.56,86.2983,0.301
176000,79,-24.7786,-4796.99,74.2188,0.294
177000,80,-21.8945,-4795.49,72.5705,0.351
178000,85,-7.94313,-4859.97,59.1644,0.327692
179000,82,-30.6085,-4809.33,75.5239,0.3305
180000,82,-24.6057,-4805.62,67.7083,0.332
181000,88,-29.9049,-4799.76,78.0159,0.328
182000,85,-32.4988,-4804.12,81.8053,0.32
183000,86,-34.5334,-4763.47,72.7847,0.328
184000,88,-35.2744,-4778.6,81.6885,0.304
185000,85,-37.8912,-4767.83,67.3091,0.326
186000,88,-36.7347,-4762.7,77.3101,0.332
187000,90,-21.0497,-4778.9,77.3101,0.328
188000,88,-21.2577,-4791.6,81.7746,0.328
189000,91,-6.65554,-4794.37,70.8442,0.322
190000,86,-10.6403,-4772.08,79.4724,0.325
191000,87,-11.2993,-4770.97,86.4983,0.34
192000,82,-16.6763,-4786.11,79.5315,0.315
193000,79,-19.2317,-4785.84,62.6373,0.327
194000,92,-21.5137,-4866.74,91.9357,0.325968
195000,85,-28.4497,-4860.95,93.837,0.357
196000,83,-30.7689,-4836.25,52.5459,0.319
197000,82,-43.4277,-4830.5,77.4696,0.329
198000,68,-18.7669,-4759.82,56.0588,0.3166
199000,72,-9.76373,-4767.5,65.967,0.333
200000,73,-8.9756,-4774.75,74.5725,0.342
201000,76,-5.85943,-4764.8,69.2478,0.311
