"","node","time","lam1","lam2","mu1","mu2","index"
"1",756,0,45.6537,0.113761,0,0,1
"2",53,20.04755,0.7370725,-0.04295205,0,0,2
"3",760,22.0234,1.36402,0.0137079,0,0,3
"4",644,24.6995,5.57487,-0.0596123,0,0,4
"5",807,25.5946,0.838537,-0.050696,0,0,5
"6",1494,25.8791,0.815269,0.0236839,0,0,6
"7",52,26.4831,2.14087,-0.013621,0,0,7
"8",849,27.1042,1.42956,0.000660111,0,0,8
"9",1013,27.5801,0.621871,-0.0339372,0,0,9
"10",770,27.9745,0.487708,0.0462623,0,0,10
"11",869,28.10015,0.259377,-0.04628228,0,0,11
"12",1060,28.1474,2.60201,0.0476116,0,0,12
"13",3,28.1493,2.04791,0.018152,0,0,13
"14",672,28.5018,0.0300756,0.0691312,0,0,14
"15",63,28.6584,0.783664,-0.0402722,0,0,15
"16",5,28.7435,0.554441,0.0440298,0,0,16
"17",1237,28.8858,0.8664,-0.00678107,0,0,17
"18",12,28.9033,0.488212,-0.0458685,0,0,18
"19",1401,29.3864,1.49751,0.0442683,0,0,19
"20",614,29.4145,0.421561,-0.0792942,0,0,20
"21",20,29.4442,0.419382,0.0259002,0,0,21
"22",54,29.4559,1.4296,0.0561059,0,0,22
"23",875,29.5258,2.05425,0.0432304,0,0,23
"24",1170,29.5467,0.466513,0.00685047,0,0,24
"25",611,29.79205,0.6856415,0.01140842,0,0,25
"26",1456,29.9513,1.23829,0.066016,0,0,26
"27",1311,30.2037,0.612291,-0.0405415,0,0,27
"28",1505,30.2254,0.117839,-0.083995,0,0,28
"29",700,30.2512,2.60958,-0.0363583,0,0,29
"30",1423,30.2553,0.479118,0.0290331,0,0,30
"31",741,30.5738,0.796506,-0.00445699,0,0,31
"32",293,30.642,0.24569,-0.100413,0,0,32
"33",8,30.6739,1.28942,-0.00703791,0,0,33
"34",555,30.6961,0.0377797,-0.0279562,0,0,34
"35",150,30.7106,1.07653,-0.0768687,0,0,35
"36",1016,30.964,0.51252,0.0606236,0,0,36
"37",6,30.9736,0.0133803,0.0675454,0,0,37
"38",798,31.0108,0.250194,-0.00199085,0,0,38
"39",846,31.043,0.424748,0.0145344,0,0,39
"40",1381,31.1276,0.46821,-0.0298273,0,0,40
"41",904,31.2722,1.62313,0.0132653,0,0,41
"42",1069,31.2751,0.369437,-0.013948,0,0,42
"43",1198,31.3817,2.71461,0.0517114,0,0,43
"44",1241,31.3832,0.180362,0.0571368,0,0,44
"45",55,31.4255,0.176726,0.0554039,0,0,45
"46",698,31.5339,0.0438721,0.0502068,0,0,46
"47",86,31.5615,0.0722046,-0.0210907,0,0,47
"48",1020,31.608,0.015805,-0.11448,0,0,48
"49",617,31.6641,1.90451,-0.0311943,0,0,49
"50",782,31.7081,0.504301,0.035374,0,0,50
"51",1047,31.7592,2.37183,0.0166909,0,0,51
"52",740,31.7623,0.269759,0.0715121,0,0,52
"53",1269,31.7804,3.73971,0.0341453,0,0,53
"54",1133,31.7817,2.76068,0.0516227,0,0,54
"55",724,31.7951,0.166845,0.0694324,0,0,55
"56",31,31.8074,0.371938,-0.0435398,0,0,56
"57",1210,31.8451,5.00599,-0.00624173,0,0,57
"58",613,31.9135,0.946096,-0.0330104333333333,0,0,58
"59",845,32.0409,2.69733,-0.0329548,0,0,59
"60",11,32.1367,0.0706729,0.0141013,0,0,60
